Name,RGB,Hex,HSL
whitesmoke,"rgb(245, 245, 245)","#f5f5f5","hsl(0, 0%, 96%)"
platinum,"rgb(229, 228, 226)","#e5e4e2","hsl(40, 3%, 89%)"
gainsboro,"rgb(220, 220, 220)","#dcdcdc","hsl(0, 0%, 86%)"
lightgray,"rgb(211, 211, 211)","#d3d3d3","hsl(0, 0%, 83%)"
cloudgray,"rgb(192, 200, 204)","#c0c8cc","hsl(200, 15%, 78%)"
silver,"rgb(192, 192, 192)","#c0c0c0","hsl(0, 0%, 75%)"
ashgray,"rgb(178, 190, 181)","#b2beb5","hsl(138, 10%, 73%)"
darkgray,"rgb(169, 169, 169)","#a9a9a9","hsl(0, 0%, 66%)"
lightslategray,"rgb(119, 136, 153)","#778899","hsl(210, 13%, 53%)"
slategray,"rgb(112, 128, 144)","#708090","hsl(210, 14%, 50%)"
gray,"rgb(128, 128, 128)","#808080","hsl(0, 0%, 50%)"
smokygray,"rgb(115, 115, 115)","#737373","hsl(0, 0%, 45%)"
dimgray,"rgb(105, 105, 105)","#696969","hsl(0, 0%, 41%)"
gray40,"rgb(102, 102, 102)","#666666","hsl(0, 0%, 40%)"
granitegray,"rgb(103, 103, 103)","#676767","hsl(0, 0%, 40%)"
charcoal,"rgb(54, 69, 79)","#36454f","hsl(206, 21%, 26%)"
darkslategray,"rgb(47, 79, 79)","#2f4f4f","hsl(180, 25%, 25%)"
taupe,"rgb(72, 60, 50)","#483c32","hsl(30, 20%, 24%)"